,bg_mean,subject,session,scan,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,snr
1274,52.3954672006,sub-50042,session_1,taskswitch,100988,79.6966742514,1.11892379289,0.564466332944,65.7902857038,758.28214703,38276,153.260435165,1.82451622987,1.83771666667,1.98626,1.663905,0.00908722892354,0.0293121486902,40.3388748169,0.124312562081,3.0,,1.43540669856,0.0174889951442,9.51460213556
1275,56.9495038408,sub-50003,session_1,pamenc,106186,80.8258815096,1.00637177674,0.546806909814,59.5729982611,743.986962693,33078,169.912876666,2.08083334773,2.09311,2.22665333333,1.93316261523,0.0575354399982,0.02642772533,31.1509590149,0.288575168472,14.0,,5.76131687243,0.0212274796694,9.20481099368
1276,43.1858480597,sub-10963,session_1,scap,110115,69.0012024801,1.13158368154,0.498053762577,89.8890631563,752.013618155,29149,173.476492263,2.18705010857,2.16453333333,2.39072019,2.02154512049,0.0213347662357,0.0307817421854,42.4869155884,0.12450754894,6.0,,2.05479452055,0.0119353268729,10.8985581573
1277,55.3919228194,sub-10225,session_1,stopsignal,94676,81.2207591174,1.09417246935,0.592802926368,65.1796679281,771.221637344,44588,187.563079742,2.23536129039,2.19562666667,2.4184701922,2.1035075,0.0425508052867,0.0482565537095,67.2664794922,0.104016898288,0.0,,0.0,0.00433462907609,9.49537588327
1278,70.5015665339,sub-10269,session_1,stopsignal,102788,91.8433165857,1.05726249298,0.580744705139,47.9400880898,781.723943363,36476,177.688869964,2.14529554897,2.19762,2.0397075,2.20262333333,0.0133309342591,0.0364472046494,40.9946670532,0.161084781704,2.0,,1.08108108108,0.0135300180978,8.51149514656
1279,60.9776185727,sub-60078,session_1,rest,103703,87.6744546754,1.10297437745,0.562918360603,52.5232981526,754.069058535,35561,174.382418739,2.16488107995,2.13669,2.38771981024,1.988735,0.0414163097643,0.0327661968768,30.8341674805,0.315176927397,6.0,,3.92156862745,0.0193199232237,8.60078413179
1280,56.3029896227,sub-11068,session_1,scap,101393,78.9542623136,1.09214874183,0.568538784425,62.3074156818,746.838259475,37871,167.797850377,2.11624902979,2.08042349867,2.31154666667,1.9708125,0.0199731025745,0.0410229563713,59.8774375916,0.0686128827224,0.0,,0.0,0.00610169676976,9.4591252909
1281,41.9646879278,sub-11077,session_1,bht,102938,70.5545418,1.09123562959,0.532892889308,90.7665009699,763.002100827,36326,171.749043641,2.15793665092,2.14286,2.34773,1.9974425,0.0989330741012,0.0258118063211,63.9295120239,0.0788802956849,0.0,,0.0,0.0055697256962,10.8143583866
1282,45.7425838276,sub-10471,session_1,stopsignal,111945,70.4374448206,1.04626240978,0.481875753121,105.129028571,832.813566282,27319,219.042531261,2.28579833837,2.28248648527,2.50074,2.0923625,0.043504934873,0.0362252555788,73.7539291382,0.0319218424946,0.0,,0.0,0.0026836298913,11.8234494224
1283,64.6445339867,sub-10968,session_1,bart,99795,91.339194355,1.13855120108,0.579825753637,55.4870756495,812.013489569,39469,188.219123781,2.18694092342,2.19005666667,2.36198333333,2.021985,0.0094525616674,0.0373165495694,64.5534057617,0.0283042298246,0.0,,0.0,0.00453819741573,8.89008815222
